n,median_time_ms
461,0.20215
462,0.20425
463,0.20455
464,0.2045
465,0.2051
466,0.20605
467,0.2095
468,0.20895
469,0.20845
470,0.21075
471,0.21195
472,0.2115
473,0.21395
474,0.2143
475,0.2149
476,0.215
477,0.21615
478,0.2164
479,0.22015
480,0.2215
481,0.2228
482,0.22005
483,0.22285
484,0.22235
485,0.22625
486,0.22375
487,0.2259
488,0.2261
489,0.2265
490,0.23095
491,0.22895
492,0.23035
493,0.2305
494,0.23155
495,0.2314
496,0.23155
497,0.23355
498,0.2341
499,0.2355
500,0.23595
501,0.2389
502,0.23735
503,0.2394
504,0.24285
505,0.24265
506,0.24595
507,0.2495
508,0.2473
509,0.2482
510,0.2477
511,0.25195
512,0.25575
513,0.2545
514,0.2562
515,0.25525
516,0.2572
517,0.2572
518,0.26005
519,0.26565
520,0.26235
521,0.2628
522,0.2614
523,0.2628
524,0.2626
525,0.26175
526,0.26255
527,0.2654
528,0.2631
529,0.2663
530,0.26515
531,0.26845
532,0.26985
533,0.2707
534,0.271
535,0.2712
536,0.27185
537,0.27095
538,0.27465
539,0.27495
540,0.27675
541,0.2794
542,0.27815
543,0.27905
544,0.2817
545,0.28275
546,0.2823
547,0.285
548,0.28455
549,0.28845
550,0.2849
551,0.28865
552,0.2878
553,0.28895
554,0.28925
555,0.293
556,0.2949
557,0.2931
558,0.2973
559,0.29585
560,0.29665
561,0.296
562,0.30015
563,0.3007
564,0.301
565,0.30395
566,0.30435
567,0.30585
568,0.30345
569,0.306
570,0.30805
571,0.3101
572,0.30855
573,0.311
574,0.3115
575,0.3137
576,0.31485
577,0.3145
578,0.31545
579,0.31675
580,0.3178
581,0.3165
582,0.31915
583,0.3221
584,0.3239
585,0.32615
586,0.3244
587,0.32645
588,0.32905
589,0.33135
590,0.32805
591,0.332
592,0.3291
593,0.3319
594,0.33625
595,0.33515
596,0.3352
597,0.33625
598,0.3376
599,0.338
600,0.3388
601,0.34335
602,0.34295
603,0.3449
604,0.3444
605,0.3467
606,0.34735
607,0.3472
608,0.3492
609,0.34745
610,0.35235
611,0.355
612,0.35695
613,0.35455
614,0.35655
615,0.3556
616,0.3587
617,0.3619
618,0.36225
619,0.3621
620,0.36545
621,0.3657
622,0.3636
623,0.36605
624,0.3699
625,0.372
626,0.3715
627,0.3719
628,0.37495
629,0.3761
630,0.374
631,0.37625
632,0.3802
633,0.37995
634,0.3791
635,0.3802
636,0.3833
637,0.38315
638,0.3851
639,0.38395
640,0.38815
641,0.38765
642,0.39465
643,0.3906
644,0.3921
645,0.39465
646,0.39455
647,0.39845
648,0.39725
649,0.3962
650,0.40055
651,0.40105
652,0.39825
653,0.4022
654,0.4062
655,0.4064
656,0.40585
657,0.41075
658,0.41065
659,0.413
660,0.41205
661,0.4111
662,0.4139
663,0.4173
664,0.4159
665,0.41935
666,0.41995
667,0.4221
668,0.42035
669,0.42475
670,0.42195
671,0.42385
672,0.4271
673,0.42645
674,0.4276
675,0.4333
676,0.433
677,0.4355
678,0.433
679,0.4364
680,0.4366
681,0.4405
682,0.4412
683,0.44165
684,0.4417
685,0.44275
686,0.44235
687,0.4433
688,0.44905
689,0.4512
690,0.4543
691,0.4502
692,0.4521
693,0.4551
694,0.45785
695,0.4567
696,0.4597
697,0.46185
698,0.4632
699,0.46365
700,0.46045
701,0.46205
702,0.46615
703,0.46605
704,0.47205
705,0.47225
706,0.4698
707,0.47465
708,0.4735
709,0.47695
710,0.4784
711,0.47445
712,0.48255
713,0.47995
714,0.48395
715,0.48375
716,0.48465
717,0.48825
718,0.49335
719,0.4937
720,0.49
721,0.49335
722,0.49595
723,0.5002
724,0.50025
725,0.50315
726,0.50465
727,0.505
728,0.506
729,0.50975
730,0.50725
731,0.5067
732,0.5076
733,0.5087
734,0.508
735,0.5112
736,0.5097
737,0.51075
738,0.5149
739,0.51385
740,0.5178
741,0.52315
742,0.52115
743,0.5222
744,0.5252
745,0.5242
746,0.5217
747,0.5218
748,0.5295
749,0.5293
750,0.52885
751,0.53125
752,0.53635
753,0.5344
754,0.5371
755,0.5402
756,0.53935
757,0.54215
758,0.5431
759,0.54305
760,0.54885
761,0.5438
762,0.54755
763,0.54945
764,0.55135
765,0.55545
766,0.55115
767,0.56
768,0.5627
769,0.55965
770,0.5595
771,0.5629
772,0.56095
773,0.5666
774,0.5643
775,0.5718
776,0.56925
777,0.57235
778,0.5695
779,0.57275
780,0.56965
781,0.57695
782,0.5799
783,0.5783
784,0.58035
785,0.5871
786,0.58195
787,0.58105
788,0.58445
789,0.58675
790,0.5948
791,0.58915
792,0.5959
793,0.59765
794,0.59775
795,0.5978
796,0.59855
797,0.60065
798,0.60475
799,0.6099
800,0.6094
801,0.60295
802,0.6098
803,0.60585
804,0.61295
805,0.61075
806,0.61475
807,0.6203
808,0.61385
809,0.6217
810,0.6198
811,0.619
812,0.6261
813,0.63105
814,0.62415
815,0.63
816,0.62585
817,0.6316
818,0.63375
819,0.63555
820,0.63405
821,0.63335
822,0.63755
823,0.64235
824,0.64275
825,0.64545
826,0.64185
827,0.6509
828,0.64515
829,0.65425
830,0.6502
831,0.6533
832,0.65415
833,0.65775
834,0.659
835,0.65895
836,0.6628
837,0.6622
838,0.67035
839,0.6646
840,0.6631
841,0.66605
842,0.66975
843,0.67315
844,0.67135
845,0.6726
846,0.6782
847,0.67655
848,0.67375
849,0.68205
850,0.68455
851,0.6899
852,0.6826
853,0.6895
854,0.69045
855,0.6912
856,0.69315
857,0.68915
858,0.69595
859,0.7084
860,0.69705
861,0.70335
862,0.70695
863,0.7055
864,0.70975
865,0.7046
866,0.7073
867,0.70935
868,0.7083
869,0.7109
870,0.7206
871,0.722
872,0.72315
873,0.72945
874,0.72575
875,0.72155
876,0.72375
877,0.72325
878,0.72875
879,0.734
880,0.7387
881,0.7342
882,0.73935
883,0.73355
884,0.7438
885,0.73385
886,0.74115
887,0.7468
888,0.7455
889,0.74845
890,0.7518
891,0.74915
892,0.7527
893,0.75215
894,0.75805
895,0.75695
896,0.75765
897,0.7627
898,0.76395
899,0.7664
900,0.76235
901,0.76505
902,0.77005
903,0.77005
904,0.77215
905,0.77265
906,0.7798
907,0.7756
908,0.77865
909,0.77605
910,0.77735
911,0.78505
912,0.78385
913,0.7836
914,0.78675
915,0.78795
916,0.7909
917,0.80085
918,0.7994
919,0.7998
920,0.7995
921,0.80575
922,0.7988
923,0.80445
924,0.80205
925,0.80475
926,0.81025
927,0.812
928,0.81075
929,0.81705
930,0.8244
931,0.8233
932,0.82545
933,0.82335
934,0.8258
935,0.83025
936,0.83225
937,0.83425
938,0.82885
939,0.82835
940,0.8347
941,0.8386
942,0.8321
943,0.83565
944,0.84285
945,0.8454
946,0.848
947,0.8449
948,0.85295
949,0.85535
950,0.8501
951,0.85155
952,0.8582
953,0.8607
954,0.8603
955,0.85925
956,0.8619
957,0.86795
958,0.86905
959,0.8719
960,0.8703
961,0.87455
962,0.8742
963,0.87555
964,0.8784
965,0.8823
966,0.88215
967,0.88245
968,0.8852
969,0.9017
970,0.89065
971,0.89245
972,0.89205
973,0.89665
974,0.8978
975,0.8957
976,0.8971
977,0.89795
978,0.90365
979,0.9049
980,0.9053
981,0.9068
982,0.91135
983,0.9127
984,0.91275
985,0.9234
986,0.9142
987,0.9236
988,0.92375
989,0.92535
990,0.9287
991,0.9229
992,0.9288
993,0.9325
994,0.9322
995,0.9355
996,0.9371
997,0.93865
998,0.9392
999,0.9479
1000,0.94095
1001,0.9447
1002,0.94675
1003,0.94865
1004,0.958
1005,0.94895
1006,0.94855
1007,0.95185
1008,0.9583
1009,0.9651
1010,0.9652
1011,0.96835
1012,0.97165
1013,0.9758
1014,0.97875
1015,0.97375
1016,0.98055
1017,0.9841
1018,0.98475
1019,0.9831
1020,0.98625
1021,0.9831
1022,0.99125
1023,0.9898
1024,0.98985
1025,0.99245
1026,0.9941
1027,0.9959
1028,1.00085
1029,1.00105
1030,1.01035
1031,1.00515
1032,1.0066
1033,1.0087
1034,1.0037
1035,1.0125
1036,1.01565
1037,1.02255
1038,1.0133
1039,1.02125
1040,1.02155
1041,1.02195
1042,1.02475
1043,1.0277
1044,1.02635
1045,1.0345
1046,1.03845
1047,1.0335
1048,1.0336
1049,1.0382
1050,1.04505
1051,1.03995
1052,1.0497
1053,1.0529
1054,1.0514
1055,1.0475
1056,1.05565
1057,1.05295
1058,1.0544
1059,1.061
1060,1.06295
1061,1.0632
1062,1.0717
1063,1.06565
1064,1.07695
1065,1.0651
1066,1.07275
1067,1.07785
1068,1.071
1069,1.07205
1070,1.07915
1071,1.0849
1072,1.09405
1073,1.08045
1074,1.0896
1075,1.08855
1076,1.0883
1077,1.09805
1078,1.09275
1079,1.0998
1080,1.1045
1081,1.10695
1082,1.10045
1083,1.1082
1084,1.10815
1085,1.1063
1086,1.12885
1087,1.11365
1088,1.11715
1089,1.11675
1090,1.1213
1091,1.11935
1092,1.1254
1093,1.1223
1094,1.12585
1095,1.1306
1096,1.13395
1097,1.1366
1098,1.1424
1099,1.1427
1100,1.14255
1101,1.15155
1102,1.14535
1103,1.1494
1104,1.16075
1105,1.1482
1106,1.1593
1107,1.1558
1108,1.15735
1109,1.15785
1110,1.1629
1111,1.17195
1112,1.1667
1113,1.17255
1114,1.175
1115,1.16825
1116,1.1792
1117,1.17295
1118,1.18155
1119,1.17875
1120,1.18545
1121,1.18775
1122,1.18675
1123,1.192
1124,1.19875
1125,1.204
1126,1.1956
1127,1.1983
1128,1.203
1129,1.20215
1130,1.20835
1131,1.20645
1132,1.20905
1133,1.2078
1134,1.21145
1135,1.2158
1136,1.2209
1137,1.21975
1138,1.2256
1139,1.2213
1140,1.2376
1141,1.238
1142,1.23485
1143,1.2294
1144,1.24665
1145,1.2338
1146,1.23865
1147,1.2473
1148,1.24355
1149,1.2458
1150,1.24755
1151,1.2515
1152,1.25455
1153,1.2536
1154,1.2603
1155,1.26065
1156,1.25855
1157,1.26905
1158,1.2594
1159,1.2687
1160,1.27645
1161,1.279
1162,1.28095
1163,1.27825
1164,1.2799
1165,1.2813
1166,1.2914
1167,1.28485
1168,1.2933
1169,1.30175
1170,1.29405
1171,1.28425
1172,1.2936
1173,1.2875
1174,1.2964
1175,1.30105
1176,1.30095
1177,1.3055
1178,1.3025
1179,1.31735
1180,1.3178
1181,1.31225
1182,1.31955
1183,1.3266
1184,1.33225
1185,1.32575
1186,1.32005
1187,1.3348
1188,1.3294
1189,1.3349
1190,1.3361
1191,1.3444
1192,1.33735
1193,1.35085
1194,1.3316
1195,1.3557
1196,1.3505
1197,1.35875
1198,1.35845
1199,1.35485
1200,1.3633
1201,1.36575
1202,1.35515
1203,1.36365
1204,1.3741
1205,1.37585
1206,1.3719
1207,1.37335
1208,1.3767
1209,1.38505
1210,1.38135
1211,1.39225
1212,1.38225
1213,1.3973
1214,1.3878
1215,1.38965
1216,1.40025
1217,1.39825
1218,1.40505
1219,1.4027
1220,1.42195
1221,1.40235
1222,1.4139
1223,1.40945
1224,1.41705
1225,1.41225
1226,1.41995
1227,1.41655
1228,1.4116
1229,1.41845
1230,1.4416
1231,1.99365
1232,1.4341
1233,1.445
1234,1.4327
1235,1.44235
1236,1.44055
1237,1.4474
1238,1.45245
1239,1.4525
1240,1.45195
1241,1.45785
1242,1.46585
1243,1.46915
1244,1.46875
1245,1.4736
1246,1.46565
1247,1.46805
1248,1.46945
1249,1.4786
1250,1.47045
1251,1.4759
1252,1.4761
1253,1.48825
1254,1.4756
1255,1.48625
1256,1.5086
1257,1.4921
1258,1.51365
1259,1.50585
1260,1.5104
1261,1.49535
1262,1.50865
1263,1.5189
1264,1.50655
1265,1.5154
1266,1.50515
1267,1.5148
1268,1.51615
1269,1.5168
1270,1.53135
1271,1.53105
1272,1.53355
1273,1.5402
1274,1.5349
1275,1.5531
1276,1.56605
1277,1.5446
1278,1.5414
1279,1.5398
1280,1.54925
1281,1.54105
1282,1.55265
1283,1.5613
1284,1.5676
1285,1.5607
1286,1.55555
1287,1.5616
1288,1.56775
1289,1.58065
1290,1.58035
1291,1.5879
1292,1.57545
1293,1.58285
1294,1.5874
1295,1.587
1296,1.5839
1297,1.591
1298,1.58085
1299,1.58775
1300,1.60055
1301,1.59935
1302,1.59955
1303,1.59975
1304,1.6076
1305,1.60805
1306,1.60605
1307,1.6107
1308,1.5992
1309,1.61955
1310,1.62375
1311,1.6187
1312,1.6274
1313,1.62725
1314,1.629
1315,1.628
1316,1.63645
1317,1.63415
1318,1.63375
1319,1.6368
1320,1.6447
1321,1.6424
1322,1.6476
1323,1.65525
1324,1.6645
1325,1.6657
1326,1.6669
1327,1.67145
1328,1.6543
1329,1.66555
1330,1.68915
1331,1.6671
1332,1.67765
1333,1.6878
1334,1.6778
1335,1.70295
1336,1.7217
1337,1.6795
1338,1.68715
1339,1.7029
1340,1.70935
1341,1.69285
1342,1.7005
1343,1.7008
1344,1.70355
1345,1.71075
1346,1.7115
1347,1.7096
1348,1.7128
1349,1.72215
1350,1.7259
1351,1.71235
1352,1.7277
1353,1.73315
1354,1.73755
1355,1.74045
1356,1.7389
1357,1.7453
1358,1.72905
1359,1.73825
1360,1.7464
1361,1.74935
1362,1.746
1363,1.7529
1364,1.7452
1365,1.75885
1366,1.764
1367,1.76625
1368,1.77385
1369,1.76735
1370,1.78015
1371,1.76275
1372,1.764
1373,1.77555
1374,1.7802
1375,1.78935
1376,1.797
1377,1.789
1378,1.78345
1379,1.7996
1380,2.4875
1381,1.80165
1382,1.8123
1383,1.803
1384,1.8097
1385,1.81985
1386,1.8122
1387,1.82205
1388,1.82725
1389,1.8317
1390,1.8256
1391,1.82365
1392,1.832
1393,1.83275
1394,1.8489
1395,1.83965
1396,1.84365
1397,1.8382
1398,1.85485
1399,1.8403
1400,1.84995
1401,1.8603
1402,1.86565
1403,1.87075
1404,1.86655
1405,1.87675
1406,1.8797
1407,1.87695
1408,1.87925
1409,1.8808
1410,1.88555
1411,1.8869
1412,1.8882
1413,1.87215
1414,1.88595
1415,1.89445
1416,1.88615
1417,1.8855
1418,1.8877
1419,1.9017
1420,1.8984
1421,1.905
1422,1.91235
1423,1.9107
1424,1.91065
1425,1.93125
1426,1.9292
1427,1.93155
1428,1.9268
1429,1.93605
1430,1.93095
1431,1.9385
1432,1.9493
1433,1.94115
1434,1.94225
1435,1.94635
1436,1.95845
1437,1.96555
1438,1.96195
1439,1.95795
1440,1.9808
1441,1.97795
1442,1.95905
1443,1.9632
1444,1.97375
1445,1.9789
1446,1.99635
1447,2.01635
1448,1.9894
1449,1.98015
1450,1.9886
1451,1.99925
1452,1.9903
1453,1.98505
1454,2.00375
1455,2.0018
1456,2.004
1457,2.00275
1458,2.0247
1459,2.0099
1460,2.01885
1461,2.0291
1462,2.0265
1463,2.0135
1464,2.0252
1465,2.0352
1466,2.0381
1467,2.01945
1468,2.02855
1469,2.0372
1470,2.03545
1471,2.04825
1472,2.0445
1473,2.0641
1474,2.06905
1475,2.05805
1476,2.0555
1477,2.0451
1478,2.05215
1479,2.0694
1480,2.06585
1481,2.0685
1482,2.07415
1483,2.07065
1484,2.07965
1485,2.0749
1486,2.08455
1487,2.07885
1488,2.08935
1489,2.10145
1490,2.0929
1491,2.11655
1492,2.09035
1493,2.10675
1494,2.14915
1495,2.1194
1496,2.1398
1497,2.23285
